Fecha,D1_premium,D1_magna,D1_diesel,D2_premium,D2_magna,D2_diesel,D3_premium,D3_magna,D3_diesel,Aceite,Anticongelante
2025-10-01,1302,1635,1470,1306,1271,1220,1321,1666,1414,10,7
2025-10-02,1287,1572,1299,1330,1508,1543,1691,1613,1585,11,9
2025-10-03,1360,1659,1513,1221,1452,1760,1674,1258,1710,9,8
2025-10-04,1389,1762,1766,1443,1704,1330,1684,1220,1366,9,8
2025-10-05,1515,1213,1441,1545,1764,1539,1291,1566,1654,11,9
2025-10-06,1234,1405,1280,1761,1587,1201,1589,1765,1305,11,9
2025-10-07,1601,1755,1361,1401,1469,1470,1655,1661,1451,8,9
2025-10-08,1537,1252,1416,1387,1579,1692,1240,1356,1214,12,5
2025-10-09,1720,1543,1328,1671,1262,1338,1698,1792,1591,10,7
2025-10-10,1488,1578,1689,1430,1240,1227,1334,1400,1232,14,9
2025-10-11,1298,1746,1661,1204,1417,1702,1597,1592,1406,14,6
2025-10-12,1753,1660,1774,1440,1763,1295,1684,1606,1430,12,7
2025-10-13,1740,1235,1724,1359,1442,1285,1777,1756,1773,8,9
2025-10-14,1227,1755,1539,1530,1705,1547,1672,1430,1389,8,5
2025-10-15,1576,1482,1458,1558,1655,1610,1517,1424,1433,11,7
2025-10-16,1573,1671,1432,1312,1696,1641,1763,1467,1709,14,6
2025-10-17,1586,1312,1280,1312,1201,1419,1765,1424,1584,10,6
2025-10-18,1252,1615,1446,1638,1402,1383,1322,1600,1493,12,8
2025-10-19,1397,1710,1343,1400,1323,1386,1525,1663,1548,10,8
2025-10-20,1602,1545,1710,1346,1347,1688,1750,1537,1672,9,6
2025-10-21,1462,1343,1545,1771,1201,1503,1453,1652,1236,10,5
2025-10-22,1432,1298,1407,1330,1603,1351,1253,1319,1786,8,8
2025-10-23,1621,1303,1453,1426,1311,1709,1672,1298,1352,12,6
2025-10-24,1537,1362,1360,1779,1597,1476,1703,1591,1334,10,5
2025-10-25,1232,1659,1669,1574,1221,1237,1429,1564,1762,13,7
2025-10-26,1226,1425,1476,1483,1680,1652,1715,1746,1391,8,5
2025-10-27,1371,1419,1357,1676,1245,1572,1717,1298,1236,12,5
2025-10-28,1501,1380,1298,1315,1390,1452,1360,1455,1522,9,5
2025-10-29,1765,1769,1522,1487,1354,1689,1585,1303,1592,10,9
2025-10-30,1737,1607,1724,1705,1235,1219,1520,1711,1599,13,8
